Customer,Amount
Ashley Perez,200
Ashley Garcia,200
Ashley Garcia,250
Ashley Garcia,50
Ashley Garcia,150
Ashley Garcia,250
David Morris,120
David Morris,500
David Morris,100
David Morris,250
David Morris,100
Thomas White,150
Thomas White,300
Thomas White,100
William Taylor,150
William Taylor,250
William Taylor,150
William Taylor,300
Elizabeth Morris,120
Elizabeth Morris,300
Elizabeth Morris,80
Elizabeth Morris,100
Michelle Campbell,200
Michelle Campbell,300
Michelle Campbell,200
Michelle Campbell,250
Sharon Evans,100
Sharon Evans,150
Sharon Evans,200
Sharon Evans,120
Sharon Evans,300
Daniel Thomas,200
Daniel Thomas,150
Daniel Thomas,300
Daniel Thomas,120
Daniel Allen,250
Daniel Allen,200
Daniel Allen,80
Angela Roberts,500
Angela Roberts,100
George Cook,50
George Cook,300
George Cook,120
George Cook,300
George Cook,150
Michelle Stewart,250
George Adams,150
George Adams,120
Susan Edwards,250
Susan Edwards,250
William Scott,300
William Scott,250
William Scott,500
William Scott,500
William Scott,250
Sandra Williams,500
Sandra Williams,80
Sandra Williams,80
Gary Lee,100
Gary Lee,50
Gary Lee,250
Jeffrey Robinson,80
Jeffrey Robinson,50
Jeffrey Robinson,80
Jeffrey Robinson,150
Ashley Turner,120
Ashley Turner,300
Ashley Turner,200
Ashley Turner,250
Ashley Turner,300
Gary Collins,500
Gary Collins,100
Gary Collins,200
Gary Collins,50
Gary Collins,300
Richard Harris,80
Richard Harris,80
Richard Harris,100
Richard Harris,200
Karen Robinson,120
Karen Robinson,500
Karen Robinson,300
Karen Robinson,200
Nancy Miller,300
Nancy Miller,200
Nancy Miller,80
Nancy Miller,150
Robert Sanchez,50
Kevin Miller,120
Kevin Miller,500
Mary Robinson,250
Mary Robinson,300
Mary Robinson,120
Mary Robinson,250
Mary Robinson,100
Patricia Parker,250
Patricia Parker,50
Patricia Parker,120
Patricia Parker,300
Kimberly Wright,50
Kimberly Wright,120
Kimberly Wright,120
Kimberly Wright,150
Jeffrey Sanchez,80
Ruth Mitchell,200
Ruth Mitchell,200
Jennifer Green,150
Brian Adams,200
Brian Adams,250
Brian Adams,250
Brian Adams,80
Brian Adams,200
Anthony Green,100
Anthony Green,150
Anthony Green,80
Anthony Green,100
Anthony Green,200
Karen Davis,200
Karen Davis,100
Betty Allen,100
Betty Allen,250
Betty Allen,250
Betty Allen,100
Sandra Stewart,500
Sandra Stewart,100
Lisa Harris,100
Lisa Harris,200
Michelle Scott,50
Michelle Scott,200
Michelle Scott,50
Michelle Scott,300
Michelle Scott,100
Jennifer Allen,500
Jennifer Allen,300
Jennifer Allen,250
Jennifer Allen,300
Jennifer Allen,250
Lisa Taylor,50
Carol Reed,150
Carol Reed,50
Jessica Martin,150
Jessica Martin,100
Jessica Martin,300
Jessica Martin,300
Jessica Martin,500
Betty Davis,80
Betty Davis,150
Betty Davis,500
Betty Davis,200
Betty Davis,500
Sharon Reed,300
Andrew Miller,150
Andrew Miller,50
Anthony Garcia,80
Anthony Garcia,120
Anthony Garcia,120
Anthony Garcia,200
Donna Parker,100
Donna Parker,100
Donna Parker,120
Donna Parker,120
Ruth Brown,200
Ruth Brown,500
Ruth Brown,150
Ruth Brown,500
Ruth Brown,100
Sarah Harris,150
Sarah Harris,500
Sarah Harris,80
Sarah Harris,100
Sarah Harris,250
Amy Brown,100
Amy Brown,100
Amy Brown,120
Charles Sanchez,120
Charles Sanchez,250
Charles Sanchez,300
Charles Roberts,250
Charles Roberts,250
Charles Roberts,300
William Parker,250
Betty Rogers,200
Betty Rogers,300
Betty Rogers,300
Daniel Turner,80
Edward Green,80
Edward Green,500
Edward Green,250
Linda Wright,300
Linda Wright,150
Matthew Perez,100
Matthew Perez,300
Matthew Perez,200
Matthew Perez,50
Matthew Perez,50
Richard Parker,50
Richard Parker,80
Richard Parker,100
Richard Parker,300
Kenneth Smith,120
Kenneth Smith,100
Kenneth Smith,150
Kenneth Smith,100
Sarah White,200
Deborah Evans,50
Deborah Evans,250
Ryan Clark,250
Ryan Clark,80
Ronald Miller,120
Nancy Jones,120
Nancy Jones,500
George Scott,50
Timothy Robinson,250
Timothy Wilson,80
Timothy Wilson,120
Timothy Wilson,250
Timothy Wilson,80
Edward Miller,200
Mark Clark,250
Mark Clark,100
Kevin Collins,80
Kevin Collins,500
Dorothy Smith,100
Dorothy Smith,300
Dorothy Smith,200
Dorothy Smith,120
Dorothy Smith,100
Amy King,300
Amy King,120
Amy King,80
Amy King,80
Amy King,100
Jeffrey Davis,250
Jeffrey Davis,200
Jeffrey Davis,250
Jeffrey Davis,200
Jeffrey Davis,100
Elizabeth White,120
Ashley Phillips,150
Ashley Phillips,50
Ashley Phillips,150
Ashley Phillips,120
Ashley Phillips,500
Emily Nelson,250
Emily Nelson,150
Kevin Brown,300
Kevin Brown,250
Emily Jones,50
Emily Jones,200
Emily Jones,200
Emily Jones,100
Emily Jones,250
Sarah Roberts,200
Sarah Roberts,500
Sarah Roberts,100
Sarah Roberts,300
Gary Jones,80
Linda Williams,250
Ryan Sanchez,250
Ryan Sanchez,250
Ryan Sanchez,250
Ryan Sanchez,80
Ryan Sanchez,500
Sandra Campbell,150
Sandra Campbell,80
Karen Garcia,120
Karen Garcia,100
Karen Garcia,500
Karen Garcia,200
Karen Garcia,250
Kimberly Parker,150
Timothy Wright,50
Timothy Wright,120
David Wright,300
Donna Phillips,150
Brian Rogers,80
Brian Rogers,50
Ronald Wilson,100
Lisa Walker,500
Lisa Walker,150
Lisa Walker,100
Lisa Walker,200
Lisa Walker,100
Jason Cook,80
Jason Cook,50
Jason Cook,200
Ruth Wright,500
Ruth Wright,80
Ruth Wright,150
Ronald Roberts,300
Mark Brown,100
Mark Brown,200
Mark Brown,100
Mark Brown,150
Gary Miller,80
Gary Miller,120
Gary Miller,500
Gary Miller,50
Gary Miller,50
Laura Smith,50
Laura Smith,300
Mark Allen,100
Mark Allen,50
Ashley Sanchez,120
Ashley Sanchez,200
Ashley Sanchez,120
Ashley Sanchez,250
Amy Morris,150
Amy Morris,80
Amy Morris,200
Joseph Nelson,100
Barbara Carter,250
William Green,150
William Green,200
William Green,80
Ashley Green,200
Jennifer Harris,150
Jennifer Harris,120
Jennifer Harris,300
Jennifer Harris,200
Jennifer Harris,300
Gary Cook,500
Gary Cook,120
Charles Smith,50
Charles Smith,120
Charles Smith,500
Charles Smith,200
Ryan Stewart,200
James Reed,150
James Reed,80
James Reed,120
James Reed,500
Elizabeth King,50
Elizabeth King,100
Elizabeth King,150
Elizabeth King,80
Robert Martin,250
Robert Martin,200
Robert Martin,300
Robert Martin,80
Robert Martin,80
Betty Wilson,80
Betty Wilson,50
Betty Wilson,250
Betty Wilson,100
Elizabeth Harris,200
Elizabeth Harris,250
Elizabeth Harris,200
Daniel Scott,120
Daniel Scott,80
Daniel Scott,120
Thomas Cook,80
Thomas Cook,100
Thomas Cook,80
Thomas Cook,100
Thomas Cook,300
Paul Davis,200
Paul Davis,120
Paul Davis,300
Paul Davis,150
Paul Davis,300
Susan Davis,100
Ruth Collins,50
Ruth Collins,120
Ruth Collins,200
Charles Garcia,200
Charles Garcia,250
Betty Brown,150
Betty Brown,100
Betty Brown,50
Steven Scott,500
Steven Scott,120
Steven Scott,80
Steven Scott,300
Steven Scott,80
Ruth Wilson,50
Michael Cook,100
Michael Cook,120
Sharon Young,80
Sharon Young,150
Sharon Young,80
John Jones,300
John Jones,100
David Robinson,50
Kenneth Brown,250
Kenneth Brown,250
Andrew Thomas,120
Andrew Thomas,100
Andrew Thomas,150
Jessica Scott,50
Jessica Scott,120
Kevin Harris,250
Kevin Harris,500
Kevin Harris,300
Kevin Harris,50
David White,100
David White,250
David White,120
David White,500
Elizabeth Parker,50
Elizabeth Parker,250
Elizabeth Parker,200
Elizabeth Parker,300
Elizabeth Parker,500
Anthony Roberts,200
Anthony Roberts,250
Anthony Roberts,150
Anthony Roberts,100
Anthony Roberts,50
Daniel Phillips,50
Daniel Phillips,150
Margaret Walker,120
Margaret Walker,100
Margaret Walker,80
Margaret Walker,120
Margaret Walker,120
Jessica Mitchell,120
Anthony Thomas,120
Anthony Thomas,200
Ruth Rogers,50
Ruth Rogers,200
Ruth Rogers,100
Dorothy Moore,500
Dorothy Moore,150
Dorothy Moore,100
Dorothy Moore,300
Robert Garcia,120
Emily Martin,500
Nancy Smith,120
Nancy Smith,100
Nancy Smith,200
Ronald Thomas,50
Ronald Thomas,50
Ronald Thomas,100
Kimberly Sanchez,80
Kimberly Sanchez,500
Sarah Hall,200
Ronald Edwards,80
Ronald Edwards,200
Ronald Edwards,150
Ronald Edwards,200
Thomas Taylor,300
Thomas Taylor,200
Thomas Taylor,100
Thomas Taylor,500
Timothy Campbell,120
Timothy Campbell,100
Timothy Campbell,250
Karen Morris,100
Karen Morris,100
Karen Morris,50
Timothy Roberts,50
Timothy Roberts,100
Timothy Roberts,200
Timothy Roberts,120
Ryan Roberts,300
Charles Robinson,120
Anthony Lewis,80
Anthony Lewis,200
Joshua Smith,120
Joshua Smith,120
Joshua Smith,80
Carol Miller,50
Donald Scott,100
Donald Scott,250
Donald Scott,300
Donald Scott,250
Anthony Mitchell,80
Anthony Mitchell,300
Anthony Mitchell,120
Anthony Mitchell,100
Joshua Jones,150
John Lewis,80
John Lewis,80
John Lewis,200
William Perez,200
Emily Campbell,50
Emily Campbell,250
Emily Campbell,100
Emily Campbell,250
Mary Brown,200
Linda Moore,500
Linda Moore,500
Linda Moore,150
Linda Moore,150
Karen Lee,50
Steven Roberts,300
Steven Roberts,100
Steven Roberts,50
Steven Roberts,200
Steven Roberts,50
Andrew Garcia,300
Andrew Garcia,120
Andrew Garcia,80
John Jackson,150
John Jackson,80
Nancy Davis,250
Nancy Davis,300
Nancy Davis,300
Deborah Edwards,80
Deborah Edwards,500
Deborah Edwards,250
Patricia Hall,200
Patricia Hall,100
Patricia Hall,300
Patricia Hall,50
Susan Scott,150
Susan Scott,120
Susan Scott,150
Susan Scott,50
Timothy Edwards,80
Brian Walker,250
Brian Walker,120
Brian Walker,500
Brian Walker,50
Brian Walker,250
Sharon Carter,500
Sharon Carter,300
Sharon Carter,120
Sharon Carter,300
Robert Nelson,500
Robert Nelson,100
Robert Nelson,80
Robert Nelson,300
Robert Nelson,100
Mary Jackson,100
Mary Jackson,50
George Wright,100
George Wright,150
Daniel Morris,80
Steven Perez,150
Steven Perez,500
Steven Perez,300
Amy Smith,500
Amy Smith,250
Amy Smith,80
Amy Smith,250
Amy Smith,100
Kimberly Turner,80
Dorothy Cook,150
Sarah Mitchell,250
Sarah Mitchell,150
Sarah Mitchell,250
Kevin Adams,300
Kevin Adams,50
Kevin Adams,100
Kevin Adams,150
Kevin Adams,250
Charles Campbell,250
Charles Campbell,50
Charles Campbell,250
Charles Campbell,200
Charles Campbell,120
Nancy White,50
Nancy White,200
Nancy White,150
Karen White,80
Karen White,120
Karen White,100
Karen White,150
Gary Lewis,250
Gary Lewis,80
Gary Lewis,120
Joshua Jackson,300
Joshua Jackson,500
Joshua Jackson,200
Joshua Jackson,50
Betty Taylor,150
Ronald Nelson,100
Ronald Nelson,500
Ronald Nelson,50
Ronald Nelson,100
Jennifer Moore,120
Robert Green,200
Ronald Moore,200
Ronald Moore,300
Ronald Moore,500
Steven Parker,50
Elizabeth Hall,300
Elizabeth Hall,100
Elizabeth Hall,300
Elizabeth Hall,500
Anthony Walker,150
Anthony Walker,80
Sarah Johnson,50
Sarah Johnson,100
Sarah Johnson,120
Sarah Johnson,120
Kevin Martin,150
Kevin Martin,250
Betty Johnson,300
Amy Wilson,50
Amy Wilson,120
Susan Phillips,150
Susan Phillips,250
Susan Phillips,250
Kenneth Thompson,300
Kenneth Thompson,150
George Carter,250
George Carter,80
George Carter,50
George Carter,500
George Carter,200
Ashley Evans,150
Ashley Evans,150
Ashley Evans,80
Ashley Evans,300
Ashley Evans,80
Matthew White,150
Matthew White,150
Matthew White,150
Jennifer Anderson,120
Jennifer Anderson,50
Jennifer Anderson,250
Jennifer Anderson,200
Jennifer Anderson,100
Edward Johnson,150
Edward Johnson,150
Edward Johnson,250
Edward Johnson,250
Donald Rogers,120
Matthew Morris,500
Matthew Morris,300
Amy Edwards,500
Amy Edwards,150
Amy Edwards,100
Cynthia Perez,150
Cynthia Perez,80
Nancy Wilson,500
Nancy Wilson,100
Nancy Wilson,200
Kevin Garcia,200
Kevin Garcia,120
Jason Clark,200
Jason Clark,200
Jason Clark,150
Jason Clark,150
Kenneth Davis,50
Kenneth Davis,80
Kenneth Davis,300
Kenneth Davis,120
Sarah Collins,500
Sarah Collins,150
Sarah Collins,250
Sarah Collins,50
Sarah Anderson,120
Sarah Anderson,200
Paul Roberts,100
Paul Roberts,200
Paul Roberts,100
Paul Roberts,80
Lisa Robinson,200
Lisa Robinson,50
James Scott,120
James Scott,100
James Scott,100
Lisa Reed,100
Ryan Wright,250
Ryan Wright,300
Ryan Wright,250
Ryan Wright,50
Robert Mitchell,200
Robert Mitchell,50
Deborah Lewis,120
Deborah Lewis,50
Deborah Lewis,50
Deborah Lewis,120
Deborah Lewis,120
Timothy Walker,100
Timothy Walker,80
Timothy Walker,250
Karen Taylor,50
Karen Harris,500
Karen Harris,500
Karen Harris,200
Karen Harris,250
Cynthia Collins,200
Cynthia Collins,300
Anthony Reed,100
Anthony Reed,250
John Martin,100
John Martin,120
Kimberly Nelson,80
Kimberly Nelson,200
Ronald Evans,250
Susan Cook,50
Susan Cook,50
Susan Cook,80
Susan Cook,50
Susan Cook,50
Timothy Davis,300
Timothy Davis,250
Timothy Davis,80
Timothy Davis,500
Timothy Anderson,50
Timothy Anderson,150
Richard Edwards,150
Richard Edwards,100
Richard Edwards,250
Richard Edwards,80
Richard Edwards,500
Edward Campbell,150
Joseph Miller,120
Joseph Miller,120
Joseph Miller,150
Joseph Miller,500
Jennifer Walker,150
Jennifer Walker,100
Jennifer Walker,50
Jennifer Walker,500
Lisa Jackson,200
Lisa Jackson,120
Lisa Jackson,50
Lisa Jackson,50
Brian Garcia,300
Gary Nelson,80
Deborah Thompson,300
Deborah Thompson,150
Michael Miller,50
Michael Miller,150
Mark Collins,250
Mark Collins,80
Mark Collins,80
Laura Reed,50
Laura Wilson,200
Laura Wilson,200
Deborah Scott,150
Deborah Scott,80
Deborah Scott,200
Deborah Scott,200
Deborah Scott,100
Joseph Young,300
Joseph Young,150
Joseph Young,250
Joseph Young,300
Ruth King,80
Ruth King,100
Timothy Morris,100
Richard King,300
Richard King,300
Richard King,100
Richard King,250
Richard King,200
Donna Johnson,300
Donna Johnson,300
Joseph King,50
Joseph King,80
Joseph King,150
Joseph King,200
James Sanchez,120
James Sanchez,200
James Sanchez,500
James Sanchez,500
James Sanchez,80
Andrew Edwards,300
Andrew Edwards,200
Brian Collins,100
Brian Collins,500
Brian Collins,50
Brian Collins,50
Kevin Taylor,300
Kevin Taylor,300
Kevin Taylor,100
Kevin Taylor,80
Kevin Taylor,300
Michael Nelson,500
Michael Nelson,250
Steven Lee,300
Joshua Roberts,80
Joshua Roberts,300
Joshua Roberts,300
Joshua Roberts,200
Joseph Adams,80
Steven King,500
Sharon Garcia,150
Sharon Garcia,500
Sharon Garcia,500
Sharon Garcia,120
Sharon Garcia,300
Matthew Hall,120
Laura Green,500
Laura Green,300
Laura Green,200
Jeffrey Edwards,50
Jeffrey Edwards,200
Anthony Parker,500
Anthony Parker,500
Anthony Parker,200
Timothy Miller,100
Lisa Wilson,80
Lisa Wilson,150
Lisa Wilson,120
Lisa Wilson,120
Linda Green,200
Linda Green,80
Robert Parker,80
Robert Parker,300
Robert Parker,300
Robert Parker,500
Robert Parker,100
Lisa Smith,50
Lisa Smith,500
Lisa Smith,250
Lisa Smith,300
Lisa Smith,500
Gary Thomas,100
Gary Thomas,100
Gary Thomas,80
Gary Thomas,250
Gary Thomas,200
Paul Phillips,150
Paul Phillips,250
Matthew Harris,100
Matthew Harris,100
Matthew Harris,250
Matthew Harris,500
Karen Stewart,200
Karen Stewart,500
Karen Stewart,120
Karen Stewart,120
Karen Stewart,120
Donna Sanchez,200
Donna Sanchez,100
Donna Sanchez,100
Betty Mitchell,80
Betty Mitchell,200
Betty Mitchell,500
Nancy Turner,250
Nancy Turner,500
Nancy Turner,150
Nancy Turner,250
Nancy Turner,50
Margaret Miller,250
Charles Brown,120
Jessica Reed,150
Jessica Reed,150
Timothy Harris,500
Timothy Harris,50
Anthony Scott,500
Sarah Martin,250
Sarah Martin,120
Sarah Martin,500
Sarah Martin,150
Sarah Martin,50
Carol Collins,500
Carol Collins,50
Carol Collins,50
Jason Thompson,300
Jason Thompson,120
Amy Parker,500
Amy Parker,120
Amy Parker,120
Sarah Scott,80
Sarah Scott,100
Andrew White,150
Andrew White,100
Andrew White,100
Andrew White,150
Andrew White,50
Matthew Green,50
Matthew Green,100
Angela Lewis,50
Angela Lewis,150
Angela Lewis,300
Angela Lewis,500
Angela Lewis,200
Daniel Carter,100
Daniel Carter,500
Mary King,500
Mary King,250
Mary King,80
Mary King,200
Mary King,120
Cynthia Jackson,200
Cynthia Jackson,200
Cynthia Jackson,150
Linda Reed,500
Linda Reed,300
Linda Reed,500
Linda Reed,50
Linda Reed,80
Joshua Lee,120
Joshua Lee,50
Joshua Lee,200
Joshua Lee,250
Joshua Lee,80
Donald Thompson,150
Donald Thompson,50
Donald Thompson,500
Donald Thompson,200
Donald Thompson,500
Ruth Nelson,300
Ruth Nelson,50
Ruth Nelson,150
Ruth Nelson,120
Daniel Nelson,80
Mary Cook,500
Mary Cook,50
Mary Cook,80
Mary Cook,120
Mary Cook,120
Cynthia Rogers,80
Cynthia Rogers,100
Cynthia Rogers,50
Cynthia Rogers,300
Ronald Robinson,80
William Brown,150
William Brown,500
William Roberts,150
William Roberts,250
Ryan Young,200
Ryan Young,50
Ryan Young,250
Ryan Young,80
Sandra Smith,80
Sandra Smith,50
Sandra Smith,80
Sandra Smith,200
Sandra Smith,500
Karen Phillips,150
Jeffrey Scott,250
Jeffrey Scott,50
Jeffrey Scott,300
Jeffrey Scott,100
Sandra Martin,250
Sandra Martin,500
Charles Clark,50
Charles Clark,500
Charles Clark,500
Charles Davis,50
Steven Mitchell,80
Steven Mitchell,150
Steven Mitchell,120
Steven Mitchell,200
Steven Mitchell,120
Paul Evans,100
Paul Evans,100
Paul Evans,100
Paul Evans,120
Paul Evans,150
Jennifer Davis,50
Jennifer Davis,500
Kenneth Evans,80
Kenneth Evans,150
Kenneth Evans,80
Kenneth Evans,150
Kenneth Evans,80
Jennifer Morris,300
Jennifer Morris,200
Jennifer Morris,200
Jennifer Morris,100
Jennifer Morris,120
Deborah Moore,300
Deborah Moore,300
Deborah Moore,200
Donna Edwards,100
Donna Edwards,200
Donna Edwards,200
Andrew Taylor,200
Ronald Rogers,150
Ronald Rogers,200
Ronald Rogers,100
Ronald Rogers,200
Cynthia Baker,300
Cynthia Baker,200
Cynthia Baker,150
Cynthia Baker,300
Ashley Miller,80
Ashley Miller,150
Jennifer Thompson,80
Deborah Johnson,50
Deborah Johnson,250
Deborah Johnson,120
Deborah Johnson,50
Deborah Johnson,500
Susan Mitchell,300
Susan Mitchell,100
Susan Mitchell,200
Susan Mitchell,250
Susan Mitchell,120
Deborah Cook,150
Deborah Cook,100
Deborah Cook,300
Deborah Cook,500
Deborah Cook,500
James Edwards,100
James Edwards,500
Thomas Scott,100
Thomas Scott,100
Jason Morris,200
Jason Morris,50
Jason Morris,120
Jason Morris,300
Susan Hall,50
Susan Hall,120
Margaret Hall,300
Margaret Hall,300
Margaret Hall,50
Margaret Hall,50
Kevin Lewis,500
Ryan White,500
Ryan White,100
Ryan White,250
Kevin Allen,80
Kevin Allen,500
Kevin Allen,150
Donald Martin,250
Donald Martin,200
Donald Martin,200
Donald Martin,300
Donald Martin,300
Cynthia Phillips,500
Joshua Taylor,80
Joshua Taylor,500
Linda Anderson,100
Linda Anderson,200
Sharon Davis,250
Sharon Davis,200
Edward Davis,300
Edward Davis,300
Edward Davis,120
Edward Davis,100
Kevin King,120
Robert Wilson,100
Robert Wilson,100
Robert Wilson,500
Robert Wilson,50
Robert Wilson,100
Michael Taylor,100
Michael Taylor,500
Michael Taylor,250
Emily Roberts,150
David Jackson,300
David Jackson,300
David Jackson,100
David Jackson,120
Michelle King,100
Michelle King,100
Michelle King,500
Michelle King,150
Michelle King,100
Edward Collins,300
Edward Collins,80
Edward Collins,120
Donald Allen,80
Donald Allen,50
Sarah Nelson,100
Sarah Nelson,80
Sarah Nelson,100
Sarah Nelson,300
Deborah Campbell,50
Deborah Campbell,500
Deborah Campbell,500
Deborah Campbell,80
Deborah Campbell,80
Nancy Edwards,500
Nancy Edwards,50
George Evans,500
George Evans,250
George Evans,200
George Evans,50
Timothy Carter,120
Timothy Carter,300
Timothy Carter,250
Timothy Carter,200
Kimberly Rogers,80
Kimberly Rogers,250
Kimberly Rogers,100
Kimberly Rogers,150
Kimberly Rogers,300
Gary Martin,150
Paul Thompson,50
Paul Thompson,50
Dorothy Carter,500
James Allen,200
James Allen,250
Charles Wright,150
Charles Wright,150
Charles Wright,500
Charles Wright,250
Charles Wright,200
Donna White,120
Donna White,250
Donna White,500
Donna White,500
Nancy Thomas,500
Nancy Thomas,500
Nancy Thomas,300
Susan Clark,200
Susan Clark,250
Susan Clark,100
Susan Clark,80
Susan Clark,120
Joshua Stewart,80
Joshua Stewart,120
Betty Young,500
Betty Young,50
Betty Young,100
Donald Parker,80
Sharon Anderson,250
Sharon Anderson,80
Sharon Anderson,80
Sharon Anderson,150
Barbara Hall,50
Edward Allen,500
Edward Allen,150
Edward Allen,50
Edward Allen,100
Ryan Adams,50
Ryan Adams,120
Ryan Adams,500
Ryan Adams,150
Jennifer Williams,500
Jennifer Williams,500
Jennifer Williams,120
Jennifer Williams,100
Jennifer Williams,50
Mark Lee,100
Anthony Edwards,250
Anthony Edwards,120
Anthony Edwards,500
Anthony Edwards,50
Jason Sanchez,80
Ashley Harris,200
Ashley Harris,200
Ashley Harris,150
Ashley Harris,120
Ashley Harris,120
Kenneth Young,50
Kenneth Young,150
Kenneth Young,100
Kenneth Young,250
Kenneth Young,500
Richard Perez,500
Sarah Robinson,500
Sharon Roberts,300
Sharon Roberts,250
Sharon Roberts,300
Gary Green,50
Gary Green,300
Gary Green,80
Gary Green,150
William Allen,120
William Allen,200
Paul Walker,500
Paul Walker,50
Paul Walker,150
Paul Walker,120
Paul Walker,150
George Rogers,80
George Rogers,500
George Rogers,100
Nancy Lewis,120
Nancy Lewis,150
Nancy Lewis,100
Jason Collins,300
Jason Collins,120
Elizabeth Rogers,150
Elizabeth Rogers,120
Barbara Moore,200
Barbara Moore,100
Joseph Garcia,50
Joseph Garcia,500
Joseph Garcia,50
Joseph Garcia,300
Daniel Adams,150
Daniel Adams,300
Daniel Adams,100
Daniel Adams,500
Daniel Adams,150
Steven Martin,100
Steven Martin,50
Steven Martin,500
Steven Martin,250
Steven Martin,300
Betty Walker,100
Betty Walker,300
Betty Walker,80
Betty Walker,500
Timothy Smith,120
Donald Turner,200
Sarah Thompson,500
Sarah Thompson,150
Nancy Campbell,200
Nancy Campbell,100
Nancy Campbell,300
Andrew Jackson,200
Andrew Jackson,200
Andrew Jackson,250
Andrew Jackson,150
Joshua Thomas,100
Joshua Thomas,120
Joshua Thomas,80
Joshua Thomas,150
Joshua Thomas,120
Ashley Wright,120
Ashley Wright,100
Ashley Wright,100
Ashley Wright,300
Ruth Smith,250
Ruth Smith,300
Thomas Parker,500
Thomas Parker,200
Thomas Parker,300
Thomas Parker,150
Thomas Parker,150
Michael Young,100
Michael Jackson,300
Michael Jackson,80
Michael Jackson,300
Mark Perez,150
Mark Perez,200
Mark Perez,50
Mark Perez,250
Mark Perez,80
Anthony Collins,120
Anthony Collins,500
Anthony Collins,100
Anthony Collins,150
Anthony Collins,200
Daniel Collins,300
Daniel Collins,300
Daniel Collins,80
Daniel Collins,250
Daniel Collins,150
Kenneth Parker,100
Kenneth Parker,200
Paul Parker,250
Paul Parker,80
Paul Parker,80
Paul Parker,100
Paul Parker,200
Barbara Lewis,150
Barbara Lewis,150
Barbara Lewis,250
Gary Hall,500
Gary Hall,300
Gary Hall,250
Gary Hall,100
Gary Hall,100
Laura Johnson,120
Laura Johnson,150
Jason Stewart,120
Mary Young,80
Ashley Brown,250
Margaret Reed,80
Susan Campbell,80
Susan Campbell,250
Ryan Wilson,500
Ryan Wilson,100
John Williams,200
John Williams,300
John Williams,300
Angela White,300
Angela White,100
Angela White,500
Angela White,100
Angela White,300
Ryan Rogers,250
Ryan Rogers,500
Ryan Rogers,500
Ryan Rogers,150
Ryan Rogers,200
Nancy Mitchell,80
Nancy Mitchell,300
James Smith,100
James Smith,200
James Smith,150
James Smith,300
James Smith,500
James Stewart,300
James Stewart,150
James Stewart,50
James Stewart,250
Carol Smith,200
Carol Smith,120
Carol Smith,250
Carol Smith,500
Carol Smith,250
Mary Sanchez,250
Mary Sanchez,120
Mary Sanchez,150
Mary Sanchez,80
Andrew Parker,500
Andrew Parker,150
Sarah Evans,150
Sarah Evans,250
Sarah Evans,120
Sarah Evans,80
Sarah Evans,100
Thomas Harris,300
Donna Scott,300
Donna Scott,120
Donna Scott,200
John Anderson,500
John Thomas,150
Jessica Wilson,50
Jessica Wilson,120
Jessica Wilson,80
Jessica Wilson,100
James Adams,200
James Adams,250
Karen Adams,300
Karen Adams,50
Karen Adams,200
David Reed,50
David Reed,150
William Mitchell,100
William Mitchell,120
William Mitchell,150
William Mitchell,250
Michelle Smith,120
Jason Williams,300
Jason Williams,80
Margaret Edwards,300
Margaret Edwards,250
George Clark,100
George Clark,50
George Clark,500
Margaret Davis,300
Margaret Davis,150
Margaret Davis,120
Sarah Edwards,80
Sarah Edwards,120
Daniel Smith,150
Daniel Smith,80
James Williams,300
James Williams,100
James Williams,200
James Williams,80
James Williams,120
Mary Adams,200
Ryan Brown,200
Timothy Mitchell,100
Daniel Perez,300
Daniel Perez,120
Daniel Perez,50
Timothy Allen,100
Timothy Allen,150
Timothy Allen,50
Lisa Sanchez,500
Lisa Sanchez,150
Lisa Sanchez,500
Lisa Sanchez,300
Jennifer Roberts,500
Jennifer Roberts,200
Kenneth White,500
Kenneth White,100
Kenneth White,80
Kenneth White,500
Kenneth White,100
Joshua Harris,500
Joshua Harris,200
Joshua Harris,300
James Cook,250
James Cook,100
James Cook,50
James Cook,200
James Cook,120
Sandra Allen,500
Sandra Allen,300
Daniel Davis,500
Brian Jones,100
Patricia Williams,80
Patricia Williams,300
Jennifer Miller,250
Margaret Campbell,150
Margaret Campbell,50
Margaret Campbell,200
Margaret Campbell,120
Margaret Campbell,80
Angela Garcia,50
Angela Garcia,200
Angela Garcia,500
Angela Garcia,250
Sharon Hall,150
Margaret Williams,150
William Jackson,80
William Jackson,80
William Jackson,120
William Jackson,500
William Jackson,250
Elizabeth Roberts,500
Elizabeth Roberts,500
Paul Rogers,200
Mary Thomas,250
Mary Thomas,500
Mary Thomas,200
Mary Thomas,100
Mary Thomas,500
Angela Walker,500
Angela Walker,200
Angela Walker,200
Paul Reed,200
Paul Reed,120
Paul Reed,500
Paul Reed,120
Ashley Rogers,200
Ashley Rogers,300
Ashley Rogers,300
Steven Smith,150
Emily Johnson,100
Emily Johnson,150
Emily Johnson,50
Emily Johnson,150
Emily Johnson,120
Linda Lewis,150
Amy Perez,500
Amy Perez,100
Amy Perez,80
Amy Perez,50
Amy Perez,300
Anthony Anderson,150
Anthony Anderson,200
Cynthia Turner,120
Cynthia Turner,150
Ruth Clark,250
Dorothy Jackson,200
Patricia Adams,80
Patricia Adams,150
Patricia Adams,50
Patricia Adams,250
Patricia Adams,80
Gary Brown,200
Gary Brown,250
Gary Brown,250
Angela Davis,50
Angela Davis,250
